INFO - MiscDetections\CharacterChangeMenu | Color Check Started |  0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:0 matches:0 | C: 0x312c2b Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:1 matches:0 | C: 0x312c2b Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:2 matches:0 | C: 0x907f42 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:3 matches:0 | C: 0x907f42 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:4 matches:0 | C: 0x907f42 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:5 matches:0 | C: 0x907f42 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:6 matches:0 | C: 0x907f42 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:7 matches:0 | C: 0x37342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:8 matches:0 | C: 0x37342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:9 matches:0 | C: 0x37342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:10 matches:0 | C: 0x37342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:11 matches:0 | C: 0x37342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:12 matches:0 | C: 0x37342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:13 matches:0 | C: 0x37342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:14 matches:0 | C: 0x37342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:15 matches:0 | C: 0x37342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:16 matches:0 | C: 0x37342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:17 matches:0 | C: 0x37342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:18 matches:0 | C: 0x37342a Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:19 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:20 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:21 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:22 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:23 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:24 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:25 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:26 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:27 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:28 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:29 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:30 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:31 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:32 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:33 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:34 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:35 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:36 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:37 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:38 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:39 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:40 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:41 matches:0 | C: 0x373428 Ref: 0xFFFFFF
COLORS - MiscDetections\CharacterChangeMenu | y:42 matches:0 | C: 0x373428 Ref: 0xFFFFFF
